exp,execution,benchmark,size_of_data,version,num_threads,NI,ORIG,OMP
sequencial,1,trmm,MINI_DATASET,OMP,256,0,8098728
sequencial,2,trmm,MINI_DATASET,OMP,256,0,8246403
sequencial,3,trmm,MINI_DATASET,OMP,256,0,8305070
sequencial,4,trmm,MINI_DATASET,OMP,256,0,8510071
sequencial,5,trmm,MINI_DATASET,OMP,256,0,8205465
sequencial,6,trmm,MINI_DATASET,OMP,256,0,8266107
sequencial,7,trmm,MINI_DATASET,OMP,256,0,8386748
sequencial,8,trmm,MINI_DATASET,OMP,256,0,8265844
sequencial,9,trmm,MINI_DATASET,OMP,256,0,8397711
sequencial,10,trmm,MINI_DATASET,OMP,256,0,8354716
sequencial,1,trmm,SMALL_DATASET,OMP,512,0,68990175
sequencial,2,trmm,SMALL_DATASET,OMP,512,0,71298763
sequencial,3,trmm,SMALL_DATASET,OMP,512,0,69054352
sequencial,4,trmm,SMALL_DATASET,OMP,512,0,68874798
sequencial,5,trmm,SMALL_DATASET,OMP,512,0,69265695
sequencial,6,trmm,SMALL_DATASET,OMP,512,0,69383153
sequencial,7,trmm,SMALL_DATASET,OMP,512,0,71463315
sequencial,8,trmm,SMALL_DATASET,OMP,512,0,70894486
sequencial,9,trmm,SMALL_DATASET,OMP,512,0,69203054
sequencial,10,trmm,SMALL_DATASET,OMP,512,0,70882472
sequencial,1,trmm,STANDARD_DATASET,OMP,1024,0,599938752
sequencial,2,trmm,STANDARD_DATASET,OMP,1024,0,584194867
sequencial,3,trmm,STANDARD_DATASET,OMP,1024,0,611989446
sequencial,4,trmm,STANDARD_DATASET,OMP,1024,0,585558292
sequencial,5,trmm,STANDARD_DATASET,OMP,1024,0,566009709
sequencial,6,trmm,STANDARD_DATASET,OMP,1024,0,578156565
sequencial,7,trmm,STANDARD_DATASET,OMP,1024,0,641236567
sequencial,8,trmm,STANDARD_DATASET,OMP,1024,0,584965410
sequencial,9,trmm,STANDARD_DATASET,OMP,1024,0,604365176
sequencial,10,trmm,STANDARD_DATASET,OMP,1024,0,588087350
sequencial,1,trmm,LARGE_DATASET,OMP,2048,0,4981541944
sequencial,2,trmm,LARGE_DATASET,OMP,2048,0,4873714409
sequencial,3,trmm,LARGE_DATASET,OMP,2048,0,4861515646
sequencial,4,trmm,LARGE_DATASET,OMP,2048,0,4874232314
sequencial,5,trmm,LARGE_DATASET,OMP,2048,0,4873129868
sequencial,6,trmm,LARGE_DATASET,OMP,2048,0,4975131214
sequencial,7,trmm,LARGE_DATASET,OMP,2048,0,5187233618
sequencial,8,trmm,LARGE_DATASET,OMP,2048,0,5351860373
sequencial,9,trmm,LARGE_DATASET,OMP,2048,0,5390942035
sequencial,10,trmm,LARGE_DATASET,OMP,2048,0,4956684288
sequencial,1,trmm,EXTRALARGE_DATASET,OMP,4096,0,39899755607
sequencial,2,trmm,EXTRALARGE_DATASET,OMP,4096,0,39791073705
sequencial,3,trmm,EXTRALARGE_DATASET,OMP,4096,0,40025079737
sequencial,4,trmm,EXTRALARGE_DATASET,OMP,4096,0,39871982195
sequencial,5,trmm,EXTRALARGE_DATASET,OMP,4096,0,40013569873
sequencial,6,trmm,EXTRALARGE_DATASET,OMP,4096,0,39796193675
sequencial,7,trmm,EXTRALARGE_DATASET,OMP,4096,0,39336738476
sequencial,8,trmm,EXTRALARGE_DATASET,OMP,4096,0,39283995194
sequencial,9,trmm,EXTRALARGE_DATASET,OMP,4096,0,39197521692
sequencial,10,trmm,EXTRALARGE_DATASET,OMP,4096,0,40281874950
